catalog_id,priority,domain,dataset,publisher,signal_or_proxy,geography,time_grain,history,access,status,recommended_use,join_key,known_bias,url
H02,P0,homelessness,PIT by census tract,Regional Task Force on Homelessness,One-night sheltered and unsheltered count,census tract,annual,2025-2026 tract products plus reports,download or dashboard,cataloged,Spatial validation and annual benchmark,tract GEOID and year,One night methodology changes and hidden homelessness undercount,https://www.rtfhsd.org/reports-data/
H03,P1,homelessness,Homeless project-level dashboard,Regional Task Force on Homelessness,System projects beds and outcomes,project and geography,month or reporting period,current and historical reporting,download or dashboard,cataloged,Capacity utilization and project outcome context,project_id month,Definitions and provider participation change over time,https://www.rtfhsd.org/reports-data/
H04,P1,homelessness,PIT and Housing Inventory Count,HUD,CoC homeless count and bed inventory,CoC state and national,annual,long national series,direct files,cataloged,Cross-region benchmark and local CoC continuity,CoC code year,Methodology and coverage differ across places and years,https://www.huduser.gov/portal/datasets/ahar.html
H05,P1,homelessness,System Performance Measures,HUD,Returns exits length of stay and system flow,CoC,annual,multi-year,direct files,cataloged,Outcome trend benchmarks beyond street counts,CoC code year,HMIS data quality and participation affect measures,https://www.huduser.gov/portal/datasets/ahar.html
H06,P1,homelessness,Shelter and homelessness reports,City of San Diego and SDHC,Beds occupancy and program operations,site program and city,month,recent reports,web pages and PDFs,partly_integrated_source_E,Fill shelter-capacity seed and explain count changes,site month,Changing PDF formats definitions and missing months require verification,https://www.sandiego.gov/homelessness-strategies-and-solutions/data-reports
S01,P0,street_conditions,Get It Done reports,City of San Diego,Resident-reported service demand,request point,day,2016-present,direct annual CSV,partly_integrated_source_C,Add sanitation infrastructure and public-space categories beside homelessness reports,service category date lat lng,Reporting propensity app adoption duplicates and category changes drive volume,https://data.sandiego.gov/datasets/get-it-done-reports/
S02,P1,street_conditions,Illegal dumping reports,City of San Diego,Reported dumping and cleanup demand,request point,day,multi-year,direct CSV,cataloged,Public-realm stress and cleanup workload,request date lat lng,Complaint volume is not total dumping and may duplicate general Get It Done,https://data.sandiego.gov/datasets/get-it-done-illegal-dumping/
S03,P1,street_conditions,Graffiti reports,City of San Diego,Reported graffiti and cleanup demand,request point,day,multi-year,direct CSV,cataloged,Public-realm maintenance activity and reporting behavior,request date lat lng,Reports reflect awareness and service use not prevalence,https://data.sandiego.gov/datasets/get-it-done-graffiti/
S04,P1,street_conditions,Police calls for service,City of San Diego,Police service activity,call area and time,incident or call,multi-year,direct annual files,cataloged,Public-safety workload and temporal context,beat date time,Calls are not crimes and reflect reporting and deployment; suppress small-cell location detail,https://data.sandiego.gov/datasets/police-calls-for-service/
S05,P1,street_conditions,Fire and EMS incidents,City of San Diego,Emergency-response activity,incident location and unit,incident,multi-year,direct files,cataloged,Health and safety pressure around downtown and service sites,date geocode,Dispatch coding and station operations change; protect sensitive small-cell outputs,https://data.sandiego.gov/datasets/fire-ems-incidents/
S06,P2,street_conditions,Fire and EMS problem counts,City of San Diego,Aggregated emergency problem types,city or service geography,month,multi-year,direct files,cataloged,Low-risk aggregate trend alternative to incident records,month problem type,Aggregation obscures location and repeat patients,https://data.sandiego.gov/datasets/fire-ems-problem-counts/
S07,P2,street_conditions,Code enforcement violations archive,City of San Diego,Property and code enforcement,case or address,event,multi-year archive,direct download,cataloged,Blight vacancy and enforcement-pressure context,date parcel or geocode,Enforcement priorities and complaint behavior confound incidence,https://data.sandiego.gov/datasets/code-enforcement-violations/
S08,P2,street_conditions,Street sweeping schedule,City of San Diego,Scheduled curb and maintenance constraints,street segment,schedule,current,ArcGIS download,cataloged,Control for parking displacement and curb access,spatial plus weekday,Schedule is not proof that sweeping occurred,https://data.sandiego.gov/datasets/street-sweeping-schedule/
E01,P0,economic_land_use,Business tax certificates,City of San Diego,Active business establishments,business address,start end or snapshot,1990-present,direct daily files,cataloged,Business openings closures and daytime-activity context,certificate address NAICS date,Certificates are administrative records not employment footfall or verified operations,https://data.sandiego.gov/datasets/business-tax-certificates/
E02,P1,economic_land_use,Development permits,City of San Diego,Development pipeline and construction,project or permit,application and decision,multi-year,direct files,cataloged,Construction displacement supply and street-disruption context,project address parcel date,Approval does not guarantee construction and project scope varies,https://data.sandiego.gov/datasets/development-permits/
E03,P1,economic_land_use,Parcels,SANDAG,Parcel geometry and land identifiers,parcel,current vintage,current,ArcGIS FeatureServer,cataloged,Spatial backbone for permits businesses housing and land use,APN plus geometry,Parcel boundaries and identifiers change; ownership fields may be sensitive or stale,https://geo.sandag.org/server/rest/services/Hosted/Parcels_South/FeatureServer/0
E04,P1,economic_land_use,Land Use 2025,SANDAG,Observed land-use classification,parcel or polygon,2025 snapshot,2025,ArcGIS FeatureServer,cataloged,Denominators and built-environment mix by neighborhood,spatial join,Snapshot and classification errors; does not measure current occupancy,https://geo.sandag.org/server/rest/services/Hosted/
E05,P2,economic_land_use,General Plan land use,City of San Diego,Planned land use,polygon,current plan,current,ArcGIS download,cataloged,Compare planned versus observed uses and identify capacity,spatial join,Plans are policy designations not existing uses,https://data.sandiego.gov/datasets/gis-general-plan-land-use/
E06,P1,economic_land_use,Local Area Unemployment Statistics,BLS and California EDD,Employment and unemployment,county metro or city,month,long series,API or download,cataloged,Macro affordability and labor-market pressure,area code month,Modeled aggregate estimates are not neighborhood conditions or individual risk,https://www.bls.gov/lau/data.htm
E07,P1,economic_land_use,SANDAG population estimates,SANDAG,Population households income and demographic denominators,community planning area and smaller geographies,annual,multi-year estimates,Socrata export,cataloged,Normalize reports counts and resources per resident,geography vintage,Estimates are modeled and revisions can change history,https://opendata.sandag.org/Estimate/SANDAG-Estimates-Reports/9kjd-mya6
A01,P0,affordability_housing,Affordable Housing Inventory,SANDAG,Assisted affordable units and properties,property,current inventory,current and prior releases,ArcGIS FeatureServer,cataloged,Map subsidized supply expirations and access to services,property spatial and program fields,Inventory coverage and affordability restrictions vary; unit availability is not vacancy,https://geo.sandag.org/server/rest/services/Hosted/
A02,P0,affordability_housing,CHAS,HUD,Cost burden income and housing needs,census tract or block group,period estimate,latest 2018-2022 plus prior,direct files or token API,cataloged,Measure who is priced out by income tenure and burden,geoid vintage,Modeled multi-year survey estimates have margins of error and lag current conditions,https://www.huduser.gov/portal/datasets/cp.html
A03,P1,affordability_housing,Picture of Subsidized Households,HUD,Assisted households rents income and demographics,property PHA tract and county,annual,long series,direct files,cataloged,Profile assisted housing and compare served need,project or geography year,Administrative program universe excludes unsubsidized low-income renters,https://www.huduser.gov/portal/datasets/assthsg.html
A04,P1,affordability_housing,Low-Income Housing Tax Credit database,HUD,LIHTC projects units and placed-in-service dates,project,annual update,long national series,direct files,cataloged,Affordable pipeline geography and aging stock,project ID address year,Missing updates and geocoding errors; units are not necessarily currently available,https://www.huduser.gov/portal/datasets/lihtc.html
A05,P2,affordability_housing,USPS residential vacancy,HUD and USPS,Address vacancy and no-stat counts,census tract or ZIP,quarter,long series,restricted nonprofit or government login,cataloged_restricted,Quarterly neighborhood vacancy distress signal,geoid quarter,Postal delivery status is not housing-market vacancy and access is restricted,https://www.huduser.gov/portal/datasets/usps.html
A06,P1,affordability_housing,Short-Term Residential Occupancy licenses,City of San Diego,Licensed short-term rental supply,license and address,current with updates,current,direct files,cataloged,Measure potential competition with long-term housing,license geocode date,Licenses do not equal active listings nights booked or displaced units,https://data.sandiego.gov/datasets/stro-licenses/
A07,P1,affordability_housing,Zillow Observed Rent Index,Zillow,Typical asking rent,ZIP city and metro,month,multi-year,direct CSV,integrated_source_G,Track asking-rent pressure for downtown and comparison areas,ZIP month,Listings only; smoothing and coverage changes can hide volatility,https://www.zillow.com/research/data/
A08,P1,affordability_housing,American Community Survey 5-year,Census Bureau,Income rent burden tenure commuting disability and demographics,tract block group ZIP and city,annual five-year estimate,long series,API and tables,cataloged,Core demographic and affordability denominator with margins of error,GEOID vintage,Five-year windows overlap and are not annual point estimates; small-area uncertainty can be high,https://www.census.gov/data/developers/data-sets/acs-5year.html
F01,P0,food_access,SNAP retailer locator and download,USDA Food and Nutrition Service,SNAP-authorized retailer supply,store,current plus historical,current and historical CSV,direct CSV,cataloged,Map benefit-accepting food access and store churn,store geocode date,Authorization does not measure price quality stock or actual redemption,https://www.fns.usda.gov/snap/retailer-locator
F02,P0,food_access,Food Access Research Atlas and Retailer Access Map,USDA ERS and FNS,Distance-based food access,census tract,snapshot,2010 2015 2019 and 2025 products,direct files,partly_integrated_source_I,Expand La Jolla seed to all San Diego and newer retailer-access measures,tract GEOID vintage,Distance thresholds do not measure affordability quality disability or travel mode,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data
F03,P0,food_access,CalFresh participation and benefit issuance,California DSS,Households people and benefits,county,month,long monthly series,dashboard and raw data,cataloged,Need and program-uptake trend for San Diego County,county month,County scale masks neighborhood need and administrative changes affect counts,https://www.cdss.ca.gov/inforesources/data-portal/research-and-data/calfresh-data-dashboard
F04,P1,food_access,WIC authorized vendors,California Department of Public Health,WIC food retailer access,vendor,current,current list,direct download,cataloged,Map WIC access alongside SNAP and transit,vendor geocode,Authorization does not show stock prices redemptions or accessibility,https://www.cdph.ca.gov/Programs/CFH/DWICSN/Pages/ResearchandData/WICVendorInfo.aspx
F05,P1,food_access,Food facility inspection grades,County of San Diego,Food facility inventory and inspection result,facility,inspection,current and historic,Socrata,cataloged,Restaurant and market presence plus operational health context,facility geocode inspection date,Inspection coverage and dashboard availability vary; grade is not affordability or food access,https://data.sandiegocounty.gov/dataset/Food-Facility-Inspection-Grades/bij2-wg7v
F06,P1,food_access,Free and Reduced Price Meal data,California Department of Education,Student eligibility and school meal need,school,annual,long school-year series,direct files,cataloged,Child food-insecurity proxy and school distribution planning,school CDS code year,Eligibility rules participation and community eligibility complicate year-to-year comparison,https://www.cde.ca.gov/ds/ad/frpmtop.asp
F07,P2,food_access,Farmers market directory and API,USDA,Farmers market locations schedules and payment features,market,current,current,API or download,cataloged,Supplement retailer map with fresh-food and EBT access,market geocode season,Self-reported listings can be stale and markets are seasonal,https://usda.azureedge.us/about-usda/policies-and-links/digital/developer-resources
P01,P0,public_health,Health equity and homelessness hospital or ED data,County of San Diego,Hospital and emergency-department utilization,county region or demographic group,reporting period,available reports and dashboards,download or dashboard,cataloged,Outcome context for homelessness and service demand,period geography,Aggregates may suppress small cells and do not identify causal pathways,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_health_statistics/healthequity/
P02,P0,public_health,Overdose surveillance dashboard,County of San Diego,Overdose deaths and emergency indicators,county region or ZIP,time series,recent and historical,dashboard download,cataloged,Public-health pressure and harm-reduction planning,date geography substance,Reporting lags toxicology revisions and small-area suppression affect trends,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/OSAR/data-dashboard.html
P03,P1,public_health,Medication Assisted Treatment locations,SANDAG and regional partners,Treatment-service access,facility,current,current,ArcGIS FeatureServer,cataloged,Distance to treatment from downtown blocks and food distribution zones,spatial join,Location presence does not measure capacity eligibility hours or quality,https://geo.sandag.org/server/rest/services/Hosted/
P04,P1,public_health,Naloxone distribution locations and vending machines,SANDAG and regional partners,Harm-reduction access,location,current,current,ArcGIS FeatureServer,cataloged,Map service gaps and nearby distribution capacity,spatial join,Listed locations do not measure stock uptime hours or utilization,https://geo.sandag.org/server/rest/services/Hosted/
P05,P1,public_health,Healthy Places Index,Public Health Alliance of Southern California,Composite community conditions,census tract,current vintage,multiple vintages,download or API key,cataloged,Multidimensional neighborhood context and equity stratification,tract GEOID vintage,Composite rankings can obscure components and API access may require a key,https://www.healthyplacesindex.org/faqs
P06,P1,public_health,CalEnviroScreen,California OEHHA,Pollution burden and population vulnerability,census tract,current vintage,multiple vintages,direct files and map,cataloged,Environmental burden and heat or pollution equity context,tract GEOID vintage,Composite percentile is relative and vintage methodology changes,https://oehha.ca.gov/calenviroscreen
P07,P2,public_health,Hospitals and healthcare facilities,SANDAG,Healthcare access,facility,current,current,ArcGIS FeatureServer,cataloged,Travel distance and service-density context,spatial join,Facility presence does not measure capacity affordability or access restrictions,https://geo.sandag.org/server/rest/services/Hosted/
C01,P1,climate_context,NOAA GHCN daily weather,NOAA,Temperature and precipitation,airport station,day,long series,API or CSV,integrated_source_G,Control for weather effects on counts mobility and service demand,station date,Single airport station misses neighborhood microclimates,https://www.ncei.noaa.gov/
C02,P1,climate_context,Climate Equity Index SD,SANDAG,Climate vulnerability and equity,small geography,current vintage,current,ArcGIS FeatureServer,cataloged,Heat resilience and equitable siting context,spatial join,Composite methodology and vintage choices affect rankings,https://geo.sandag.org/server/rest/services/Hosted/
C03,P2,climate_context,Cool Zones,SANDAG and County partners,Heat relief access,site,current and seasonal,current,ArcGIS FeatureServer,cataloged,Map hot-weather refuge access and operational gaps,spatial join,Listed site may have seasonal or limited hours and does not prove capacity,https://geo.sandag.org/server/rest/services/Hosted/
